platform,post_type,topic,day_of_week,is_weekend,post_hour,followers,hashtags_count,caption_length,sentiment,likes,comments,shares,engagement_rate
Instagram,Reel,Travel,Friday,0,20,37992,11,315,Neutral,1356,152,413,5.056
TikTok,Reel,Travel,Saturday,1,3,251019,21,372,Positive,6642,582,907,3.239
LinkedIn,Story,Tech,Friday,0,5,285171,1,218,Negative,3124,341,299,1.32
Twitter,Story,Tech,Friday,0,0,366331,28,535,Neutral,1438,143,467,0.559
Twitter,Reel,Fitness,Thursday,0,11,286307,5,54,Negative,4835,456,595,2.056
YouTube,Carousel,Travel,Tuesday,0,11,94518,24,173,Neutral,1789,168,155,2.234
Instagram,Text,Travel,Tuesday,0,0,183726,19,594,Negative,2040,319,537,1.576
TikTok,Carousel,Fashion,Saturday,1,15,222173,26,295,Neutral,4496,353,710,2.502
Facebook,Text,Travel,Monday,0,0,491979,24,113,Positive,5297,462,474,1.267
Instagram,Reel,Tech,Monday,0,19,266498,15,254,Positive,11013,1098,1326,5.042
LinkedIn,Carousel,Fashion,Wednesday,0,16,317671,23,160,Neutral,5964,730,994,2.42
YouTube,Text,Travel,Saturday,1,19,367914,10,319,Neutral,7329,474,998,2.392
TikTok,Image,Fitness,Friday,0,2,181438,18,149,Negative,2947,548,161,2.015
TikTok,Reel,Fitness,Friday,0,20,482244,28,245,Neutral,8082,870,1913,2.253
TikTok,Carousel,Entertainment,Thursday,0,13,337617,2,545,Negative,5912,635,1512,2.387
TikTok,Carousel,Business,Monday,0,20,424213,11,58,Positive,15539,2110,2353,4.715
LinkedIn,Text,Food,Wednesday,0,16,374735,0,460,Neutral,3062,549,440,1.081
Instagram,Video,Business,Monday,0,15,310948,16,56,Negative,8555,1092,1768,3.671
YouTube,Text,Tech,Saturday,1,0,15922,24,279,Positive,162,17,44,1.401
Twitter,Reel,Entertainment,Saturday,1,16,292028,1,404,Positive,4923,635,396,2.039
LinkedIn,Carousel,Food,Tuesday,0,10,65190,17,573,Negative,890,109,105,1.694
Twitter,Image,Business,Wednesday,0,20,301791,12,157,Neutral,4984,614,1050,2.203
